,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021,index_x,2019-2021 Returns,index_y,2017 Returns,index_x,2018 Returns,index_y,2019 Returns,index_x,2020 Returns,index_y,2021 Returns
36,ENPH,29.7,Tech,,,2.0,2.0,2.0,ENPH,29.85975637885991,ENPH,2.295238281215408,ENPH,1.8192308432957152,ENPH,5.310975356823443,ENPH,5.980572607639406,ENPH,0.8529377553227029
37,PAYC,19.3,Tech,2.0,3.0,3.0,4.0,4.0,PAYC,3.350877329403356,PAYC,1.728642128704451,PAYC,1.522252526501807,PAYC,2.2118631287860953,PAYC,1.663907359497311,PAYC,0.9377410885399302
38,BR,15.0,Tech,3.0,3.0,3.0,3.0,3.0,BR,1.6934159802913196,BR,1.3738814107656507,BR,1.0600219908047315,BR,1.2993268672316869,BR,1.237679741954126,BR,1.0627021341458194
39,TYL,19.8,Tech,1.0,2.0,2.0,2.0,3.0,TYL,2.418788270995215,TYL,1.2229743581311572,TYL,1.0399015321808531,TYL,1.6462904958863482,TYL,1.425417982411734,TYL,1.021292376806159
40,ANET,17.6,Tech,3.0,3.0,3.0,3.0,3.0,ANET,1.5234386374564675,ANET,2.4271585386022534,ANET,0.9120027618124348,ANET,0.9660412773610086,ANET,1.419353290306808,ANET,1.13278713666208
41,IT,23.5,Tech,3.0,2.0,2.0,2.0,3.0,IT,1.569090215454468,IT,1.233226524866585,IT,1.0239487216685013,IT,1.2244736430028933,IT,1.0265958044977834,IT,1.249256608280347
42,NTAP,16.4,Tech,2.0,2.0,2.0,2.0,3.0,NTAP,1.2694729579120798,NTAP,1.555243187220882,NTAP,1.0737807899340868,NTAP,1.0316539582794515,NTAP,1.055281143551062,NTAP,1.181005207420486
43,STX,10.7,Tech,3.0,3.0,3.0,3.0,4.0,STX,2.4360284669329797,STX,1.0560323392365503,STX,0.898905191666988,STX,1.5225178406393698,STX,1.0274380140068118,STX,1.584553829008613
44,MPWR,21.1,Tech,1.0,1.0,1.0,1.0,1.0,MPWR,3.270270105939137,MPWR,1.3438583876345591,MPWR,0.9994841581991821,MPWR,1.5420997964966117,MPWR,2.0344982065560835,MPWR,1.0348116370661835
45,PTC,19.6,Tech,3.0,3.0,4.0,4.0,4.0,PTC,1.8101806225668033,PTC,1.3029588604851339,PTC,1.3554611140076172,PTC,0.9141845832955372,PTC,1.566190864327352,PTC,1.2547807827314614
46,FFIV,19.1,Tech,3.0,3.0,3.0,3.0,4.0,FFIV,1.1583323329949222,FFIV,0.9062154589444269,FFIV,1.2221300086099713,FFIV,0.8664226345846462,FFIV,1.249929023213068,FFIV,1.061700258562059
47,JNPR,16.0,Tech,3.0,3.0,3.0,3.0,3.0,JNPR,0.9393826999715706,JNPR,0.9965034832120311,JNPR,0.9376306317789793,JNPR,0.9159538757835806,JNPR,0.9109672627639528,JNPR,1.1172047566118606
48,DXC,13.9,Tech,,,,,,DXC,0.5850614457471167,DXC,1.6561955317821955,DXC,0.646654586177041,DXC,0.6898513304220102,DXC,0.7004896946612811,DXC,1.229938235606858
49,FLIR,14.3,Tech,,,,,,FLIR,1.4010210888397752,FLIR,1.2917705385086236,FLIR,0.9242199183066923,FLIR,1.2084010097571793,FLIR,0.8309005086455865,FLIR,1.155627813786406
50,ATVI,16.1,Communication Services,2.0,2.0,2.0,3.0,3.0,ATVI,1.940250954039345,ATVI,1.7281659593234993,ATVI,0.724148677698108,ATVI,1.263448856288354,ATVI,1.583120137399343,ATVI,1.0150166679778363
51,CMCSA,19.4,Communication Services,0.0,1.0,1.0,2.0,2.0,CMCSA,1.5740471386495438,CMCSA,1.1600288911512506,CMCSA,0.8290723031427644,CMCSA,1.3084085719590997,CMCSA,1.1549482644808626,CMCSA,1.0710750400293998
