Ticker,Dates,Market Cap
MRNA US Equity,3/12/21,54867.9728
MRNA US Equity,3/11/21,56261.8011
MRNA US Equity,3/10/21,51968.169
MRNA US Equity,3/9/21,52317.8452
MRNA US Equity,3/8/21,49359.5503
MRNA US Equity,3/5/21,52845.541
MRNA US Equity,3/4/21,52889.5157
MRNA US Equity,3/3/21,52457.7646
MRNA US Equity,3/2/21,58690.1723
MRNA US Equity,3/1/21,62923.7322
MRNA US Equity,2/26/21,61259.8814
MRNA US Equity,2/25/21,58715.4654
MRNA US Equity,2/24/21,57294.8661
MRNA US Equity,2/23/21,59423.7865
MRNA US Equity,2/22/21,63064.3194
MRNA US Equity,2/19/21,69146.3837
MRNA US Equity,2/18/21,67100.5625
MRNA US Equity,2/17/21,69945.7182
MRNA US Equity,2/16/21,70646.125
MRNA US Equity,2/12/21,72707.7747
MRNA US Equity,2/11/21,72589.0617
MRNA US Equity,2/10/21,70966.6502
MRNA US Equity,2/9/21,71037.878
MRNA US Equity,2/8/21,73594.1653
MRNA US Equity,2/5/21,69739.9489
MRNA US Equity,2/4/21,68580.5183
MRNA US Equity,2/3/21,65632.478
MRNA US Equity,2/2/21,62751.7085
MRNA US Equity,2/1/21,62316.4273
MRNA US Equity,1/29/21,68521.1618
MRNA US Equity,1/28/21,63135.5473
MRNA US Equity,1/27/21,61623.9347
MRNA US Equity,1/26/21,60120.2363
MRNA US Equity,1/25/21,58169.3854
MRNA US Equity,1/22/21,51845.938
MRNA US Equity,1/21/21,52621.5298
MRNA US Equity,1/20/21,49519.1625
MRNA US Equity,1/19/21,49467.7202
MRNA US Equity,1/15/21,51303.8151
MRNA US Equity,1/14/21,51331.5148
MRNA US Equity,1/13/21,49091.7956
MRNA US Equity,1/12/21,49285.6936
MRNA US Equity,1/11/21,46400.9669
MRNA US Equity,1/8/21,44616.3143
MRNA US Equity,1/7/21,45542.276
MRNA US Equity,1/6/21,46005.2568
MRNA US Equity,1/5/21,43203.6293
MRNA US Equity,1/4/21,44212.69
CRWD US Equity,5/7/21,42352.905
CRWD US Equity,5/6/21,41880.5262
CRWD US Equity,5/5/21,43261.8425
CRWD US Equity,5/4/21,44280.4793
CRWD US Equity,5/3/21,45921.4921
CRWD US Equity,4/30/21,46680.4325
CRWD US Equity,4/29/21,47356.5387
CRWD US Equity,4/28/21,49306.5007
CRWD US Equity,4/27/21,49532.6157
CRWD US Equity,4/26/21,50253.4971
CRWD US Equity,4/23/21,49096.057
CRWD US Equity,4/22/21,48520.6951
CRWD US Equity,4/21/21,47096.8423
CRWD US Equity,4/20/21,46252.8289
CRWD US Equity,4/19/21,47768.471
CRWD US Equity,4/16/21,48178.1645
CRWD US Equity,4/15/21,47708.0244
CRWD US Equity,4/14/21,46611.0309
CRWD US Equity,4/13/21,48435.6221
CRWD US Equity,4/12/21,45668.512
CRWD US Equity,4/9/21,45375.2341
CRWD US Equity,4/8/21,45547.6188
CRWD US Equity,4/7/21,43416.3171
CRWD US Equity,4/6/21,43517.0614
CRWD US Equity,4/5/21,41779.7819
CRWD US Equity,4/1/21,41871.5711
CRWD US Equity,3/31/21,40859.6506
CRWD US Equity,3/30/21,39241.0254
CRWD US Equity,3/29/21,38920.8824
CRWD US Equity,3/26/21,39779.4477
CRWD US Equity,3/25/21,40109.6652
CRWD US Equity,3/24/21,40655.9232
CRWD US Equity,3/23/21,42670.8092
CRWD US Equity,3/22/21,43819.2943
CRWD US Equity,3/19/21,43573.0305
CRWD US Equity,3/18/21,42583.4975
CRWD US Equity,3/17/21,46029.4956
CRWD US Equity,3/16/21,43436.2846
CRWD US Equity,3/15/21,44374.4429
CRWD US Equity,3/12/21,44031.4841
CRWD US Equity,3/11/21,45536.0775
CRWD US Equity,3/10/21,43115.4522
CRWD US Equity,3/9/21,44053.6104
CRWD US Equity,3/8/21,39772.1571
CRWD US Equity,3/5/21,40517.8159
CRWD US Equity,3/4/21,42701.689
CRWD US Equity,3/3/21,46602.5687
CRWD US Equity,3/2/21,49142.6764
CRWD US Equity,3/1/21,49430.3193
CRWD US Equity,2/26/21,47792.9676
CRWD US Equity,2/25/21,46168.8918
CRWD US Equity,2/24/21,47925.7259
CRWD US Equity,2/23/21,48321.788
CRWD US Equity,2/22/21,49967.9902
CRWD US Equity,2/19/21,52926.2864
CRWD US Equity,2/18/21,52937.3496
CRWD US Equity,2/17/21,52784.6776
CRWD US Equity,2/16/21,53638.7556
CRWD US Equity,2/12/21,53567.9512
CRWD US Equity,2/11/21,51952.7259
CRWD US Equity,2/10/21,51189.366
CRWD US Equity,2/9/21,49501.1237
CRWD US Equity,2/8/21,49200.205
CRWD US Equity,2/5/21,49459.0836
CRWD US Equity,2/4/21,49565.2902
CRWD US Equity,2/3/21,48262.0468
CRWD US Equity,2/2/21,48598.3676
CRWD US Equity,2/1/21,47573.9165
CRWD US Equity,1/29/21,47748.7149
CRWD US Equity,1/28/21,47016.3319
CRWD US Equity,1/27/21,44458.5231
CRWD US Equity,1/26/21,45757.3412
CRWD US Equity,1/25/21,48122.6506
CRWD US Equity,1/22/21,49456.8709
CRWD US Equity,1/21/21,48899.2863
CRWD US Equity,1/20/21,50078.622
CRWD US Equity,1/19/21,49102.849
CRWD US Equity,1/15/21,48569.6033
CRWD US Equity,1/14/21,49921.5248
CRWD US Equity,1/13/21,50098.5358
CRWD US Equity,1/12/21,51684.9968
CRWD US Equity,1/11/21,51386.2907
CRWD US Equity,1/8/21,49503.3363
CRWD US Equity,1/7/21,49003.2803
CRWD US Equity,1/6/21,46210.9319
CRWD US Equity,1/5/21,46739.7522
