Ticker,Dates,Market Cap
MIT US Equity,2/16/21,651.25
MIT US Equity,2/12/21,650.625
MIT US Equity,2/11/21,650.625
MIT US Equity,2/10/21,651.25
MIT US Equity,2/9/21,650
MIT US Equity,2/8/21,650.625
MIT US Equity,2/5/21,643.75
MIT US Equity,2/4/21,645.625
MIT US Equity,2/3/21,642.5
MIT US Equity,2/2/21,576.5625
MIT US Equity,2/1/21,575.4375
MIT US Equity,1/29/21,566.4375
MIT US Equity,1/28/21,#N/A N/A
MIT US Equity,1/27/21,#N/A N/A
MIT US Equity,1/26/21,#N/A N/A
MIT US Equity,1/25/21,#N/A N/A
MIT US Equity,1/22/21,#N/A N/A
MIT US Equity,1/21/21,#N/A N/A
MIT US Equity,1/20/21,#N/A N/A
MIT US Equity,1/19/21,#N/A N/A
MIT US Equity,1/15/21,#N/A N/A
MIT US Equity,1/14/21,#N/A N/A
MIT US Equity,1/13/21,#N/A N/A
MIT US Equity,1/12/21,#N/A N/A
MIT US Equity,1/11/21,#N/A N/A
MIT US Equity,1/8/21,#N/A N/A
MIT US Equity,1/7/21,#N/A N/A
MIT US Equity,1/6/21,#N/A N/A
MIT US Equity,1/5/21,#N/A N/A
MIT US Equity,1/4/21,#N/A N/A
ETAC US Equity,5/7/21,743.712
ETAC US Equity,5/6/21,743.712
ETAC US Equity,5/5/21,744.474
ETAC US Equity,5/4/21,743.712
ETAC US Equity,5/3/21,745.236
ETAC US Equity,4/30/21,745.236
ETAC US Equity,4/29/21,745.236
ETAC US Equity,4/28/21,744.474
ETAC US Equity,4/27/21,749.046
ETAC US Equity,4/26/21,749.808
ETAC US Equity,4/23/21,752.094
ETAC US Equity,4/22/21,746.76
ETAC US Equity,4/21/21,745.998
ETAC US Equity,4/20/21,747.522
ETAC US Equity,4/19/21,750.57
ETAC US Equity,4/16/21,748.284
ETAC US Equity,4/15/21,750.57
ETAC US Equity,4/14/21,754.38
ETAC US Equity,4/13/21,757.428
ETAC US Equity,4/12/21,755.904
ETAC US Equity,4/9/21,752.094
ETAC US Equity,4/8/21,754.38
ETAC US Equity,4/7/21,750.57
ETAC US Equity,4/6/21,747.522
ETAC US Equity,4/5/21,746.76
ETAC US Equity,4/1/21,747.522
ETAC US Equity,3/31/21,742.95
ETAC US Equity,3/30/21,746.76
ETAC US Equity,3/29/21,744.474
ETAC US Equity,3/26/21,743.712
ETAC US Equity,3/25/21,742.188
ETAC US Equity,3/24/21,738.378
ETAC US Equity,3/23/21,746.76
ETAC US Equity,3/22/21,749.046
ETAC US Equity,3/19/21,754.38
ETAC US Equity,3/18/21,755.904
ETAC US Equity,3/17/21,756.666
ETAC US Equity,3/16/21,756.666
ETAC US Equity,3/15/21,755.904
ETAC US Equity,3/12/21,758.19
ETAC US Equity,3/11/21,762
ETAC US Equity,3/10/21,755.904
ETAC US Equity,3/9/21,758.952
ETAC US Equity,3/8/21,761.238
ETAC US Equity,3/5/21,760.476
ETAC US Equity,3/4/21,754.38
ETAC US Equity,3/3/21,761.238
ETAC US Equity,3/2/21,765.048
ETAC US Equity,3/1/21,773.43
ETAC US Equity,2/26/21,774.192
ETAC US Equity,2/25/21,779.526
ETAC US Equity,2/24/21,790.194
ETAC US Equity,2/23/21,795.528
ETAC US Equity,2/22/21,810.006
ETAC US Equity,2/19/21,810.006
ETAC US Equity,2/18/21,801.624
ETAC US Equity,2/17/21,797.814
ETAC US Equity,2/16/21,797.052
ETAC US Equity,2/12/21,800.862
ETAC US Equity,2/11/21,806.196
ETAC US Equity,2/10/21,812.292
ETAC US Equity,2/9/21,802.386
ETAC US Equity,2/8/21,803.148
ETAC US Equity,2/5/21,801.624
ETAC US Equity,2/4/21,813.816
ETAC US Equity,2/3/21,812.292
ETAC US Equity,2/2/21,796.29
ETAC US Equity,2/1/21,791.718
ETAC US Equity,1/29/21,786.384
ETAC US Equity,1/28/21,792.48
ETAC US Equity,1/27/21,784.86
ETAC US Equity,1/26/21,803.148
ETAC US Equity,1/25/21,813.054
ETAC US Equity,1/22/21,826.008
ETAC US Equity,1/21/21,806.196
ETAC US Equity,1/20/21,797.814
ETAC US Equity,1/19/21,798.576
ETAC US Equity,1/15/21,788.67
ETAC US Equity,1/14/21,792.48
ETAC US Equity,1/13/21,790.956
ETAC US Equity,1/12/21,788.67
ETAC US Equity,1/11/21,781.05
