ticker,c_name,last_sale,market_cap,ipo_year,sector,industry
ESTC,Elastic N.V. Ordinary Shares,$108.18,9710755631.0,2018.0,Technology,Computer Software: Prepackaged Software
EVBG,Everbridge Inc. Common Stock,$114.34,4299999587.0,2016.0,Technology,Retail: Computer Software & Peripheral Equipment
EVER,EverQuote Inc. Class A Common Stock,$31.90,917894173.0,2018.0,Technology,EDP Services
EVOL,Evolving Systems Inc. Common Stock,$2.08,25497023.0,1998.0,Technology,EDP Services
EVOP,EVO Payments Inc. Class A Common Stock,$28.62,1186993693.0,2018.0,Technology,EDP Services
EXLS,ExlService Holdings Inc. Common Stock,$97.93,3276508252.0,2006.0,Technology,Retail: Computer Software & Peripheral Equipment
EXTN,Exterran Corporation Common Stock,$3.76,124590751.0,2015.0,Technology,Diversified Commercial Services
FB,Facebook Inc. Class A Common Stock,$319.08,904740119233.0,2012.0,Technology,Internet and Information Services
FDS,FactSet Research Systems Inc. Common Stock,$337.05,12758074573.0,1996.0,Technology,Advertising
FEYE,FireEye Inc. Common Stock,$19.31,4604380211.0,2013.0,Technology,Computer Software: Prepackaged Software
FFIV,F5 Networks Inc. Common Stock,$184.28,11066382560.0,1999.0,Technology,EDP Services
FICO,Fair Isaac Corproation Common Stock,$496.17,14278218099.0,,Technology,Computer Software: Prepackaged Software
FISV,Fiserv Inc. Common Stock,$117.65,77857167792.0,1986.0,Technology,EDP Services
FIVN,Five9 Inc. Common Stock,$170.14,11406701635.0,2014.0,Technology,EDP Services
FLT,FleetCor Technologies Inc. Common Stock,$285.66,23809635310.0,2010.0,Technology,EDP Services
FORA,Forian Inc. Common Stock,$11.00,357973088.0,,Technology,Computer Software: Prepackaged Software
FORM,FormFactor Inc. FormFactor Inc. Common Stock,$38.69,3003222921.0,2003.0,Technology,Semiconductors
FOUR,Shift4 Payments Inc. Class A Common Stock,$87.36,7069545887.0,2020.0,Technology,EDP Services
FROG,JFrog Ltd. Ordinary Shares,$35.91,3356430170.0,2020.0,Technology,Computer Software: Prepackaged Software
FSLR,First Solar Inc. Common Stock,$74.62,7932988680.0,2006.0,Technology,Semiconductors
FSRVW,FinServ Acquisition Corp. Warrant,$3.22,0.0,2019.0,Technology,Diversified Commercial Services
FSS,Federal Signal Corporation Common Stock,$43.07,2627589278.0,,Technology,Industrial Machinery/Components
FTAI,Fortress Transportation and Infrastructure Investors LLC Common Shares,$28.42,2433626000.0,2015.0,Technology,Diversified Commercial Services
