ticker,market_cap,ipo_year
UCTT,2132186849.0,2004
UEPS,263823845.0,2005
ULBI,123655048.0,1992
UPLD,1276528998.0,2014
URI,25383014399.0,1997
VALU,284257612.0,1983
VECO,1094231789.0,1994
VERI,617300160.0,2017
VERX,2509922007.0,2020
VIAO,317149070.0,2020
VMW,68589701349.0,2007
VNET,3520156350.0,2011
VRNS,4884061388.0,2014
VRNT,3079466486.0,2002
VRSN,25034033941.0,1998
VSAT,3282518024.0,1996
WB,10114599017.0,2014
WIMI,429204803.0,2020
WISA,31049804.0,2018
WK,4301975525.0,2014
WORK,23864968368.0,2019
WSC,6486634908.0,2015
WTRH,239435817.0,2016
XELA,94115299.0,2015
XLNX,29468975240.0,1990
XM,17662343876.0,2021
XNET,299848174.0,2014
YALA,2724597361.0,2020
YELP,2984167721.0,2012
YEXT,1602813755.0,2017
YNDX,22261232368.0,2011
YY,6561823751.0,2012
ZBRA,26053426056.0,1991
ZDGE,150337198.0,2016
ZEN,15721091743.0,2014
ZEPP,577284310.0,2018
ZI,16006613039.0,2020
ZNGA,11506613843.0,2011
ZS,22465482906.0,2018
ZUO,1818630000.0,2018
