Date,AAPL High,AAPL Low,AAPL Open,AAPL Close,AAPL Volume,AAPL Adj. Close,MSFT High,MSFT Low,MSFT Open,MSFT Close,MSFT Volume,MSFT Adj. Close,AMZN High,AMZN Low,AMZN Open,AMZN Close,AMZN Volume,AMZN Adj. Close,GOOG High,GOOG Low,GOOG Open,GOOG Close,GOOG Volume,GOOG Adj. Close,FB High,FB Low,FB Open,FB Close,FB Volume,FB Adj. Close,AAPL 2019-2021 Return,MSFT 2019-2021 Return,AMZN 2019-2021 Return,GOOGL 2019-2021 Return,FB 2019-2021 Return
7/30/2019,52.54000092,51.82749939,52.18999863,52.19499969,135742800,51.32123184,141.2200012,139.8000031,140.1399994,140.3500061,16846500,137.6314545,1909.890015,1883.47998,1891.119995,1898.530029,2910900,1898.530029,1234.869995,1223.300049,1225.410034,1225.140015,1453300,1225.140015,198.7100067,193.5,195.3899994,197.0399933,11903600,197.0399933,,,,,
7/31/2019,55.34249878,52.82500076,54.10499954,53.25999832,277125600,52.36839676,140.4900055,135.0800018,140.3300018,136.2700043,38598800,133.6304932,1899.550049,1849.439941,1898.109985,1866.780029,4470700,1866.780029,1234,1207.764038,1223,1216.680054,1725500,1216.680054,198.7599945,192.6799927,196.9499969,194.2299957,14593500,194.2299957,,,,,
8/1/2019,54.50749969,51.68500137,53.47499847,52.10749817,216071600,51.23519135,140.9400024,136.9299927,137,138.0599976,40557500,135.385788,1897.920044,1844.01001,1871.719971,1855.319946,4713300,1855.319946,1234.109985,1205.719971,1214.030029,1209.01001,1698500,1209.01001,198.4700012,190.8800049,194.1699982,192.7299957,17777000,192.7299957,,,,,
8/2/2019,51.60749817,50.40750122,51.38249969,51.00500107,163448400,50.15115738,138.3200073,135.2599945,138.0899963,136.8999939,30791600,134.2482605,1846.359985,1808.02002,1845.069946,1823.23999,4956200,1823.23999,1206.900024,1188.939941,1200.73999,1193.98999,1645100,1193.98999,192.6199951,188.0700073,191.1000061,189.0200043,15297000,189.0200043,,,,,
8/5/2019,49.66249847,48.14500046,49.49750137,48.33499908,209572000,47.5258522,133.9299927,130.7799988,133.3000031,132.2100067,42749600,129.6491394,1788.670044,1748.780029,1770.219971,1765.130005,6058200,1765.130005,1175.23999,1140.140015,1170.040039,1152.319946,2597500,1152.319946,185.6699982,179.3399963,184.6900024,181.7299957,23086700,181.7299957,,,,,
8/6/2019,49.51750183,48.50999832,49.07749939,49.25,143299200,48.42552948,135.6799927,133.2100067,133.8000031,134.6900024,32696700,132.0811005,1793.77002,1753.400024,1792.22998,1787.829956,5070300,1787.829956,1179.959961,1160,1163.310059,1169.949951,1709400,1169.949951,185.7899933,183.0899963,183.6900024,184.5099945,18035700,184.5099945,,,,,
8/7/2019,49.88999939,48.45500183,48.85250092,49.75999832,133457600,48.92699432,135.6499939,131.8300018,133.7899933,135.2799988,33414500,132.6596375,1798.930054,1757,1773.98999,1793.400024,4526900,1793.400024,1178.444946,1149.624023,1156,1173.98999,1444300,1173.98999,186.3699951,181.2200012,183.6000061,185.1499939,15833200,185.1499939,,,,,
8/8/2019,50.88249969,49.84749985,50.04999924,50.85749817,108038000,50.00612259,138.9900055,135.9299927,136.6000061,138.8899994,27496500,136.1997223,1834.26001,1798.109985,1806,1832.890015,3701200,1832.890015,1205.01001,1173.02002,1182.829956,1204.800049,1468000,1204.800049,190.3399963,184.0500031,186.6199951,190.1600037,14828900,190.1600037,,,,,
8/9/2019,50.68999863,49.82249832,50.32500076,50.24750137,98478800,49.59405136,139.3800049,136.4600067,138.6100006,137.7100067,23466700,135.0425873,1831.089966,1802.219971,1828.949951,1807.579956,2879800,1807.579956,1203.880005,1183.603027,1197.98999,1188.01001,1065700,1188.01001,190.9799957,187.1199951,190,187.8500061,11058800,187.8500061,,,,,
8/12/2019,50.51250076,49.78749847,49.90499878,50.11999893,89927600,49.46820831,137.8600006,135.2400055,137.0700073,135.7899933,20484300,133.1597748,1800.97998,1777,1795.98999,1784.920044,2905500,1784.920044,1184.959961,1167.671997,1179.209961,1174.709961,1003000,1174.709961,187.5899963,184.4600067,186.8500061,185.3699951,10930900,185.3699951,,,,,
8/13/2019,53.03499985,50.11999893,50.25500107,52.24250031,188874000,51.56310654,138.8000031,135,136.0500031,138.6000061,25154600,135.9153595,1831.73999,1780,1783,1824.339966,3994000,1824.339966,1204.780029,1171.459961,1171.459961,1197.27002,1294400,1197.27002,191.3800049,185.3699951,185.5200043,188.4499969,13577000,188.4499969,,,,,
8/14/2019,51.61000061,50.64749908,50.79000092,50.6875,146189600,50.02832794,136.9199982,133.6699982,136.3600006,133.9799957,32527300,131.8223419,1795.650024,1757.219971,1793.01001,1762.959961,4893600,1762.959961,1182.300049,1160.540039,1176.310059,1164.290039,1578700,1164.290039,185.9900055,179.3099976,185.8000031,179.7100067,18903700,179.7100067,,,,,
8/15/2019,51.28499985,49.91749954,50.86500168,50.43500137,108909600,49.77910995,134.5800018,132.25,134.3899994,133.6799927,28074400,131.5271606,1788,1761.959961,1781.98999,1776.119995,3759100,1776.119995,1175.839966,1162.109985,1163.5,1167.26001,1218700,1167.26001,183.1999969,180.0299988,180.9499969,182.5899963,12925900,182.5899963,,,,,
8/16/2019,51.79000092,50.95999908,51.06999969,51.625,110481600,50.95363617,136.4600067,134.7200012,134.8800049,136.1300049,24449100,133.9377136,1802.910034,1784.550049,1792.890015,1792.569946,3018000,1792.569946,1182.719971,1171.810059,1179.550049,1177.599976,1313300,1177.599976,185.1000061,182.3600006,183.75,183.6999969,12654600,183.6999969,,,,,
